t_index   tf-idf
6402      0.0059557420556190736
2249      0.0025099491968834974
9596      0.009856953053256451
8299      0.019713906106512902
3521      0.017691734309265753
11835     0.004307646092164036
8101      0.010564122344405714
7425      0.0035430573002006014
2637      0.007945907376427162
704       0.011719887754484851
6210      0.005148309966600196
8159      0.004937052712637263
9500      0.003917548955329815
5948      0.013594771381631204
6535      0.004527995001091469
9589      0.0024685263563186317
10205     0.004997103848694902
1295      0.011045457115438664
6296      0.009027237510548796
10407     0.03467324614577953
1710      0.00481130159141442
10833     0.01552871175531322
1161      0.009185730146093004
2439      0.01508481214972147
5659      0.01145348830460244
9371      0.0009865163918958318
4536      0.00841721579395699
1101      0.004782318859888655
3520      0.024666559854707653
6586      0.008375047662194421
2184      0.012290391684922453
11412     0.0034387131425813043
7402      0.005098726990720604
8104      0.003949208391023846
8318      0.011467055002532329
3993      0.007832892978057848
11001     0.0022108679633766246
9311      0.004355893552058079
464       0.006016447300760442
3656      0.0042911130625753555
7217      0.0018254498359185412
6880      0.0026794213841452572
3295      0.006797385690815602
1549      0.004618601591399568
7408      0.004493849320278929
4322      0.004341450215771108
5997      0.008127096589488446
2108      0.009027237510548796
8932      0.003240967642191482
6311      0.0021041570671007353
8825      0.0053642574524060665
8247      0.0034526079612158104
6588      0.00597346673173321
10933     0.002588777793837107
2762      0.008712684600809234
9399      0.004208607896978495
8256      0.0046447566080198895
8874      0.001615813876133166
8315      0.003865847868809582
1694      0.004782318859888655
967       0.006378125196974654
10647     0.004168889877008965
9264      0.003926368685736944
8400      0.010142163420415393
8889      0.004270086644457982
10673     0.0018671111079013578
7490      0.003034466781985489
5281      0.005283815786875562
11024     0.0026109643260192822
8983      0.008668311536444883
9740      0.006607931903973448
9025      0.006438459716711689
9160      0.0036530950951582128
381       0.006285153475384929
7637      0.006699871102955049
5968      0.0027920622598828276
352       0.009027237510548796
3137      0.00363892321422098
11897     0.0043124179843868045
10153     0.004698378176051826
4397      0.005374421472644325
10351     0.004493849320278929
9078      0.00481130159141442
1845      0.004618601591399568
3563      0.004592865073046502
5415      0.012290391684922453
680       0.006520964882308549
4735      0.006079533742607776
9739      0.004270086644457982
11138     0.0019587744776649076
2822      0.0037865954810272474
1649      0.0034031118072973604
7426      0.0012738238617997766
4937      0.0051049340803109204
8985      0.016218116917325855
4794      0.00805733009821761
8682      0.008375047662194421
4162      0.008711787104116159
4838      0.0026716695711606507
6882      0.0036248751067500945
3466      0.009027237510548796
7888      0.003949633204718056
634       0.0042911130625753555
11115     0.004400576927618747
4835      0.00962260318282884
10145     0.00286887517098741
5958      0.0055849451930884515
10989     0.012719961662534949
6361      0.002222523797577313
11238     0.0020167278006959755
2270      0.0035167000286545898
7030      0.004901521390893845
564       0.003390972141515005
9077      0.006520964882308549
1800      0.005064134300890443
923       0.009489973572061017
9576      0.008668311536444883
8602      0.007012170679621848
1433      0.008127096589488446
9202      0.0023439775508969705
9824      0.0018765175562357015
2646      0.0050302699325946295
4518      0.005600836225722871
2558      0.005448934796700527
4056      0.007131373210627038
12108     0.006016447300760442
539       0.002851485833178596
3116      0.005098726990720604
9359      0.00563452235720969
7424      0.006905215922431621
1200      0.013399742205910097
5644      0.02251417866056398
7480      0.01125708933028199
2093      0.0042911130625753555
9505      0.003983801080854007
1571      0.004725874539308148
3708      0.0036248751067500945
488       0.002767252028961708
2366      0.0027920622598828276
1743      0.0027920622598828276
2438      0.008298785383704172
338       0.0013366508893926789
7475      0.0009516351667031518
6696      0.002968029689064229
8595      0.005283815786875562
729       0.004698378176051826
7875      0.006520964882308549
11034     0.01125708933028199
1482      0.02251417866056398
2440      0.01125708933028199
8330      0.005632963627030555
11414     0.0045425954167899315
7322      0.004249331542539469
2339      0.0016564346732602605
9048      0.007131373210627038
8368      0.008127096589488446
469       0.007012170679621848
9747      0.005651498629651059
737       0.003024806103809459
11170     0.004567533871082407
7256      0.0027509219589429853
1343      0.004698378176051826
367       0.0034526079612158104
3781      0.006520964882308549
10353     0.0038178294348674797
331       0.003583452266185229
11005     0.004208607896978495
4111      0.003569878362161505
7368      0.003252022655337638
9789      0.006079533742607776
12184     0.007553385626578287
10971     0.004698378176051826
12084     0.0019737373584120927
1508      0.0017408896650410787
7199      0.004188626297398102
4982      0.014177623617924445
12140     0.013934269824059669
5416      0.007260121752327824
2057      0.011076637591302679
10736     0.007012170679621848
10243     0.00100287414047601
1201      0.01125708933028199
